SolicitationType,Category,ShortDescription,LongDescription,CloseDateUtc,ContactFirstName,ContactLastName,ContactPhone,ContactFax,CreatedDate,PostDateUtc,SubmissionAddress,Title,RegionOfDelivery,RegionOfOpportunity,AgreementType,OpportunityType,AitExceptionReason,Jurisdiction,SystemOfOrigin,SystemOfOrigin2,OriginSystemUrl,Gsins,ResponseSpecifics,OpportunityGuid,SolicitationNumber,ReferenceNumber
Request for Quotes,Goods,"The Government of Alberta has a requirement to establish a standing offer
for custom fitted ballistic body armour.","This requirement is to establish a standing offer for a five year term with
the option to extend for up to 24 months, for the supply of custom fitted
ballistic body armour as detailed in the Request for Quotes. The ballistic
body armour is as required by the Government of Alberta for delivery to
sites throughout Alberta.",2019-07-26T20:00:00,Cassandra,Luong,780/422-1367,780/422-9672,2019-06-26T15:31:16,2019-06-26T15:30:25,,Ballistic Body Armour    -AB,Alberta,,NWPTA/TILMA & CFTA & CETA & WTO GPA,Open & Competitive,,Alberta,APC,IMAGIS,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=89C86C11-2A7F-410F-9788-7B13CE6AD6CB,,,89c86c11-2a7f-410f-9788-7b13ce6ad6cb,CORP-0000000696,AB-CORP-0000000696
Notice of Intent,Services,Vendor contracts update,"Alberta Public Laboratories (APL) is the new, wholly-owned subsidiary of Alberta Health Services (AHS) and is ready to deliver high-quality, responsive diagnostic lab services to Albertans as a part of the provincial healthcare system.",2019-11-29T21:00:59,AHS,AHS,1(877)595-0007,,2018-11-30T22:07:17,2018-11-30T22:17:32,,Alberta Public Laboratories (APL),Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=3E31DBC8-68A4-4630-A5D2-7BE7BD2FF0AA,"JX6640 Laboratory Equipment and Supplies - Repair  N6640 Laboratory Equipment and Supplies  N6640200 SHAKING MACHINE, LABORATORY  N6640A CABINETS, LABORATORY  N6640AB CABINETS, LABORATORY STORAGE (INCLUDES WOOD, METAL, PLASTIC)  N6640AC CABINETS, LABORATORY, DESICCATING, VACUUM (EXCLUDES DESICCATORS)  N6640B CENTRIFUGE, LABORATORY  N6640BA CENTRIFUGE, LABORATORY, GENERAL PURPOSE  N6640JB FILTER, LABORATORY (INCLUDES PAPER, FUNNEL, OTHER THAN GLASS)  N6640M FURNITURE, LABORATORY  N6640MA FURNITURE, LABORATORY METAL  N6640MC TABLE, BALANCE, LABORATORY  N6640N GENERATOR, LABORATORY, GAS, OXYGEN AND HYDROGEN  N6640NA BURNER, GAS, LABORATORY  N6640Q INCUBATOR, LABORATORY  N6640R LABORATORY SCHOOL EQUIPMENT (COMMERCIAL STANDARD)  N6640RA LABORATORY EQUIPMENT, SPECIAL (N.E.S.)  N6640S LABORATORY WARE  N6640SA LABORATORY GLASSWARE  N6640SB LABORATORY PLASTICWARE  N6640SC LABORATORY PLATINUMWARE  N6640T MIXERS, LABORATORY (INCLUDES STIRRERS AND BLENDERS)  N6640U OVENS, LABORATORY  N6640V GLASSWARE WASHERS, LABORATORY  N6640W LIQUID DELIVERY SYSTEMS, AUTOMATIC/AUTOMATED, LABORATORY  N6640X HOODS, LABORATORY  N6640XA HOODS, LABORATORY, CHEMICAL FUME  N6640XB HOODS, LABORATORY, LAMINAR FLOW  N6640XC HOODS, LABORATORY, GLOVE BOX (DRY BOX)  N6640XD HOODS, LABORATORY, BIOHAZARD (CONTAINMENT)  N6640Y CRUSHERS, MILLS, LABORATORY  N6640Z LABORATORY, AUTOMATION AND ROBOTICS DEVICES  N6695F LABORATORY AUTOMATION/INFORMATION MANAGEMENT SYSTEMS EQUIPMENT  WL6640 LABORATORY EQUIPMENT AND SUPPLIES - LEASING  WR6640 LABORATORY EQUIPMENT AND SUPPLIES - RENTAL",,3e31dbc8-68a4-4630-a5d2-7be7bd2ff0aa,AHS-2018-3249,AB-2018-07164
Request for Pre-Qualification,Services,,"In the event the Province requires fixed-wing services for emergency operations and activities related to the operations, the Ministry of Agriculture and Forestry will enter into casual hire contracts with aircraft companies to deliver those services.  The term “casual” means the aircraft will be hired on an as-needed basis with no guarantee of work.  Contracts are signed with all qualified aircraft companies who would like to conduct business with the Province.  The current casual fixed-wing contract is set to expire on March 31st, 2019.  Contracts for the 2019-2024 term are now available.",2024-03-29T20:00:59,Jesse,Baron,(780)638-4418,,2019-01-25T15:48:41,2019-01-25T16:01:03,"To set up a casual charter fixed-wing contract, please contact the Aircraft Accounts section by email at wf.awhq-aircraftaccts@gov.ab.ca with the following information:

• Indicate you would like to set up a 2019 – 2024 Casual Charter Fixed-wing Contract  
• Provide Legal Name of the Company
• Provi",Casual Charter Fixed-wing Contract,Alberta,Open,NWPTA/TILMA & CFTA & CETA & WTO GPA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=C16B58A3-E45F-4AEC-838B-7BEBE1C7E22B,"F001B Fire Prevention - Forestry  F010B Forestry Services, Not Elsewhere Specified  N1520 Aircraft, Rotary Wing  V200B Air Transportation  V201A Fixed Wing Aircraft - Airplane Charter  V201B Rotary Wing Aircraft - Helicopter Charter  V403B Transportation Services - Helicopter and Aircraft","To set up a casual charter fixed-wing contract, please contact the Aircraft Accounts section by email at wf.awhq-aircraftaccts@gov.ab.ca with the following information:

• Indicate you would like to set up a 2019 – 2024 Casual Charter Fixed-wing Contract  
• Provide Legal Name of the Company
• Provide Mailing Address
• Provide the name and position of the individual authorized to enter into the contract on behalf of the Company
• Provide copy of Certificate of Incorporation",c16b58a3-e45f-4aec-838b-7bebe1c7e22b,20TDRAFD600,AB-2019-00541
Request for Pre-Qualification,Goods,"Addendum 01 - issued March 13, 2018","The City of Red Deer invites interested firms to submit information for Contractor pre-qualification for Corporate Security Contractor(s) (the “Deliverable”) on an as required basis for specific projects identified by The City over a three-year period commencing in April, 2018 until December 31, 2020.",2020-03-31T22:00:59,Kathy,Stewart,403-342-8273,,2018-03-09T21:21:08,2018-03-09T21:41:28,"Submissions will be received at:
The City of Red Deer
Professional Building
600-4808 50 St
Red Deer AB  T4N 1X5
Attention:  Financial Services Reception Desk",Corporate Security Contractor,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=C860ED33-3302-4DC9-8001-7BEE4E8907D2,"5164CJ Security Control Systems - Installation and Repair  5164E Security Systems Maintenance - Interior (built-in) Buildings  JX6350 Alarm and Signal Systems, Miscellaneous - Repair, Overhaul and Maintenance  N6350 Alarm, Signal, and Security Detection Systems , Miscellaneous","Submissions will be received up to 4:00:59 P.M. (Alberta Time) on March 31, 2020.

The initial intake date and time will be:  April 4, 2018 at 4:00:59 P.M. (Alberta Time).

All submissions should be in a sealed envelope, signed and marked as follows:

“Corporate Security Contractor”

Proposals must be received by the submission deadline outlined above. Delivery of Proposals prior to the closing date and time is the sole responsibility of Respondents. 

Proposals received after the closing date and time will not be considered regardless of the reason for the late delivery. The official time of receipt shall be determined by the time clock stamp at the Financial Services Reception Desk. Proposals shall be time-stamped and initialled upon receipt by the City. The City will not accept Proposals by fax or email.

Two (2) hard copies and one (1) electronic single file PDF version (USB drive) is required for submission.",c860ed33-3302-4dc9-8001-7bee4e8907d2,1090-COR-T18-100,AB-2018-01657
Request for Qualification,Services,,"Subject to the availability of sufficient internal Ministry resources, the Ministry may, from time to time, require contracted resources to provide services for project or initiative-specific tasks and assignments. 

The purpose of this RFQ is to establish Resource Pools of qualified Resources, in various Resource Categories, to provide Services to the Ministries. The Resource Pools will be refreshed on an ongoing basis throughout the term of this Request (refer to section 2.5 of this Request, Resource Pool Administration). Vendors may provide Submissions to this Request at any time, while the Request is open. Vendors may propose Resources for multiple Resource Categories, and should provide Submissions for all Resource Categories of interest. 

When a Ministry determines that Services are required, an Opportunity Posting, outlining the specific Resource Category, requirements and evaluation criteria, will be posted to the Alberta Purchasing Connection.  All Vendor Resources qualified within the relevant Resource Category will be considered for the Opportunity Posting.  While an Opportunity Posting is open, Vendors may also submit new Resources for consideration and/or update existing Submissions.  

Resources submitted on RFQ: AE-AAET-ITM-2011-01 prior to this Request will not be ‘carried over’ to Resource Pools established through this Request.  The Ministry will not accept new Vendor Submissions for previous RFQ: AE-AAET-ITM-2011-01 after September 05, 2016.  Notwithstanding the closing date of September 05, 2016, the Ministry reserves the right to use the previous RFQ: AE-AAET-ITM-2011-01 for in-progress opportunities and award contracts under the previous terms and conditions.  Contracts established prior to this Request for Qualifications shall continue in full force and effect under the terms and conditions of any such contracts.  As of September 20, 2016, Vendors may submit to this Request. 

Vendors are encouraged to submit Resources that may not be immediately available, but that may become available during the term of this Request.  

The Ministry reserves the right to update, or modify this Request or any Opportunity Posting at any time.  Further, the Ministry reserves the right to cancel this Request or any Opportunity Posting at any time without notice and without penalty.

Other GoA Departments could choose to leverage the Resource Pools established through this Request.",2021-08-31T22:00:00,Akbar,Ali,(780)422-0398,,2016-09-06T17:53:52,2016-09-06T18:37:51,,IT Resources Service Pool,Alberta,Open,AIT & NWPTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=6FA8F2C3-1178-4CF8-98FC-7C216A4A34AC,"D302AAG Informatics Professional and Consulting Services, Documentation, Technical Writing","Submissions must be delivered in hardcopy format, i.e. paper.  Submissions submitted via facsimile or in digital form (e.g. CD/DVD, USB flash drive, e-mailed files, etc.) in whole or in part will not be accepted, in lieu of the required hardcopy. However, to assist the Evaluation Committee to perform searches within the Submission, Vendors must email an electronic copy of the Submission in Microsoft Word or Adobe Acrobat format.  If there are any conflicts, discrepancies, errors or omissions between the electronic and hardcopy versions of the Submissions, the hardcopy version will take precedence and govern. 

For ease of administration, hard copies and email versions of each Submission(s) should be treated as a package, that is the hard copies and email versions should arrive on the same calendar day. 

Submissions may be delivered by hand, courier or mail.  Vendors should be aware that Canada Post only delivers Government of Alberta mail with Edmonton addresses to the main Canada Post depot in Edmonton. The Government of Alberta then picks up the mail and distributes it in accordance with the address label.  Vendors should consider the above when choosing the method of delivery for their Submission, as it is the Vendor’s responsibility to ensure its Submission is received before the Opportunity Posting Closing Date and Time. 

The Ministry shall not be responsible for failures, technical or otherwise, that may result in Submissions (in any format) not being received in a readable form prior to the closing dates and times noted in this RFQ and/or any Opportunity Posting.

In responding to this RFQ, the Vendor’s attention is drawn to the following:
a)	The Submission letter in Appendix B of this Request must be completed, signed by an authorized representative of the Vendor and included with each Submission.
b)	Submissions received unsigned will be rejected.
c)	Submissions received after the closing date and time for a specific Opportunity Posting will not be considered for that Opportunity Posting.  It will be added to the Resource Pool for future consideration. 
d)	Ambiguous or unclear Submissions may be rejected.
e)	Submissions should be sealed and clearly marked with the RFQ number, Opportunity Posting Closing Date, if applicable,  the Resource Category  for which the Submission is being proposed and must be sent to the following location: 

Education
9th Floor, Commerce Place 
10155 - 102 Street
Edmonton, AB, T5J4G8
Attention: Procurement Coordinator
	
RFQ: LBR-EDC-2016-01
Resource Category/Role(s) ____________________________
Opportunity Posting Closing Date and Time (if applicable) __________________

(Note: Waybills accompanying deliveries of Submissions by courier should contain the RFQ number and Opportunity Posting Closing Date and Time, if applicable.

f)	The Submission’s time and date will be recorded upon receipt by the Ministry to the above address.  Submissions must be received prior to the Opportunity Posting Closing Date and Time (if applicable).  
g)	Submit one (1) bound paper copy. 
h)	Submit one (1) electronic copy to: LBR.EDC-ITServicesRFQ@gov.ab.ca. If you are responding to a specific Opportunity Posting, please include the Opportunity Posting Closing Date and Time in the subject line for easier cross-referencing.  Similarly, if you are making a Submission other than in response to a specific Opportunity Posting, please ensure the Resource Category is included in the body of the email. 

To be considered for the establishment of the initial Resource Pools, Submissions should be delivered not later than September 20, 2016 16:00 Alberta Time.

Vendor Submissions will expire two hundred (200) calendar days from the receipt by the Ministry. Vendors are encouraged to re-submit Resources.",6fa8f2c3-1178-4cf8-98fc-7c216a4a34ac,LBR-EDC-2016-01,AB-2016-05621
Request for Proposal,Goods,,"The City of Edmonton (the “City”) invites bidders to submit bids for
this Sourcing Event. Supply and service of interior and exterior vehicle cleaning fluid. The Work to be performed by the successful bidder is outlined in the Requirements document listed in Section 5 - Form of Agreement.
The City will evaluate and award contracts in three different categories:

1. Exterior Cleaning Fluid
2. Interior Cleaning Fluid
3. Engine, Tire and Rim Cleaning Fluid

The initial term of the Contract will be 2 year(s), commencing Effective Date. In its sole discretion, the City may extend the Contract on the same terms and conditions for up to 4 additional 2 year term(s).",2019-07-11T22:00:00,Damon,Wong,780-508-9489,780-496-5015,2019-06-17T20:08:21,2019-06-17T21:00:00,,Interior and Exterior Vehicle Cleaning Fluid Sourcing Event,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=4D804AE0-8C80-47AE-A023-7DA50273E9BF,"N7930CM CLEANING COMPOUND, SOLVENT-DETERGENT, LIQUID GEL  N7930CN CLEANING COMPOUND, SOLVENT-DETERGENT, LIQUID SOLUTION  N7930N SOAP",Refer to the sourcing event notification attached to this posting for further instructions and details.,4d804ae0-8c80-47ae-a023-7da50273e9bf,Doc1617809339,AB-2019-03889
Notice of Intent,Services,,"The City of Calgary (“The City”) is proceeding with the following acquisition:

Scope of Project:
The Push-to-Talk (PTT) service is a critical communication tool for The City and Calgary Parking Authority (CPA), which allows instant voice and work group communications with the push of a button. In late 2013, The City’s Information Technology (IT) Business Unit was notified by its then current PTT service provider they were decommissioning PTT services by the end of 2016. 

In response to the impending changes, The City collected information from the market through Request for Information (RFI) 14-038 requesting information on alternative solutions. Based on those responses, The City’s IT Business Unit determined that Bell Mobility (""Bell"") was the only solution able to fulfil the services requirements of The City. 

In late 2015, The City issued an NOI 15-055 advising of The City’s intent to enter into an Agreement with Bell Mobility. Following the NOI, The City and Bell entered an agreement to provide PTT services for 3 years.  

The PTT service continues to be a critical communication tool for multiple City business units, which includes first responders, and for CPA. Based on The City’s current knowledge of the options available in the market, The City concludes that Bell Mobility continues to be the only PTT service provider that can deliver the mandatory functionalities The City and CPA requires. The City knows of no other PTT service currently available in a full production environment with the ability to deliver the required business functionalities.

Notice is hereby given by The City of Calgary (“The City”) of its intent to enter a contract with Bell Mobility Inc. (“Bell”), for the provision of Push-To-Talk (“PTT”) service to support in excess of 1500 users and devices in The City and CPA.  

The procurement includes: 

1.	Monthly subscription on Push-To-Talk service and Voice or Data services as needed;
2.	Central Administration tool to manage group talking and end users;
3.	Dispatch console as required; and
4.	When required, cellular hardware and cellular accessories, any hardware and associated support services to provide Push-To-Talk service at different environments.

 The contract is required for 3 years from July 2019 to July 2022. The City and CPA estimate a combined cost of $2,000,000.00 excluding GST, based on approximately 1,500+ end users with PTT and Public Switched Telephone Network (PSTN) call function. 

It is the intent of The City to award this contract for the following reason(s):

1.	Under New West Partnership Trade Agreement (NWTPA) exemption (g) “where it can be demonstrated that only one supplier is able to meet the requirements of a procurement”, Bell has a proven PTT service;
2.	The Bell PTT solution has the capability to meet the mandatory requirements of The City which includes:
o	Must be capable to provide cellular voice and data service to end users;
o	The PTT service must be proven through current operation in a full production environment, not in any kind of testing or development phase;
o	Must support talk groups up to 250 active users;
o	Must provide direct technical support by the providers technicians:
o	The PTT solution must be integrated into the Carrier core network providing call priority service which is monitored, managed and maintained by the Carrier. 
o	Must have sub-second call set-up performance where it takes less than one second for a call to set up (the time it takes for the first volley) and maintains sub-second latency for users to volley back and forth;
o	Must have the capability to provide a central administration tool to allow The City IT and CPA IT to configure group talking and manage end users including segregation of talk groups for individual operational entities (e.g. Business Unit A must not be able to modify or view talk-group information for Business Unit B);
o	Must have a dispatch console that can be installed onto a computer located at The City and CPA or is available as a web based tool; and
o	Must conform to industry standards of the Open Mobile Alliance Push-To Talk on Cellular (OMA PoC) version 2.
For consideration any party that wishes to address this procurement action must submit in writing the following information:
5.	Firm name and contact information;
6.	Relevant specific information regarding the firm’s ability to address the specified procurement;
7.	Ability to offer competitive products and services that will be advantageous to The City ; and
8.	Brochures, marketing information and other non essential materials should NOT be included.

Information package must be submitted in English and need not be more than two (2) pages in length.

9.	Responses to the NOI must be submitted and electronically on the MERX portal located online at:
www.calgary.merx.com

10.	All responses to this NOI must be submitted on or before the Submission Deadline.  

Questions regarding this NOI must be submitted using the “Q & A Tab” in the MERX online system at the location cited above.

No communications with respect to the NOI are to be directed to anyone other than the City Contact, or by any other method outside of the “Q & A Tab” in the MERX system.  The City is under no obligation to provide additional information and The City will not be responsible for any information provided or obtained from any source other than the City Contact.

The City reserves the right to determine the relevance of any communication and accept or reject the communication as deemed in the best interest of The City.",2019-07-05T22:00:59,Debbie,Mckinnon,403-268-5557,403-268-5523,2019-06-20T21:19:13,2019-06-20T21:24:13,"Bidding documents should be obtained from Merx as shown below.  Bids are to be submitted via the Merx 4 online portal found at www.calgary.merx.com   Hard copies will not be accepted.  Failure to submit via Merx 4 will result in a non-compliant bid.
*Contractors must register on the Merx 4 portal.",PTT SERVICE,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=155F7B2B-0787-4B42-B57A-7E5B512C051A,"AJ212516 Communications Network Software (R&D)  N7010124 COMPUTERS, DIGITAL SYSTEMS, PERSONAL/PORTABLE (MAY INCLUDE      OPERATING SYSTEM SOFTWARE) OTHER THAN IBM COMPATIBLE  N7030AJB COMPUTER SOFTWARE, OTHER (NOT ELSEWHERE LISTED) - MICROCOMPUTERS ONLY",,155f7b2b-0787-4b42-b57a-7e5b512c051a,19-034,AB-2019-03974
Negotiated Request for Proposal,Goods,,The AGLC is seeking to enter into a multi-year contract for the supply of electronic gaming machine bases.,2019-07-23T20:00:59,Angela,Buye,(780)651-7603,,2019-06-26T13:56:04,2019-06-26T14:18:10,See solicitation document for details on acceptable submission formats and locations.,Supply of Electronic Gaming Machine Bases,Alberta,Open,NWPTA/TILMA & CFTA & CETA & WTO GPA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=F2BA761E-C8DA-4591-BBBC-7E9FA308FDAE,"N3685 Specialized Metal Container Manufacturing Machinery and Related Equipment  N3685A Specialized Metal Container Manufacturing Machinery  N9540 Structural Shapes, Nonferrous Base Metal  N9650 Nonferrous Base Metal Refinery and Intermediate Forms","By downloading the opportunity document(s), a vendor becomes registered on Alberta Purchasing Connection (APC) as an interested vendor for this opportunity, and agrees to be bound by the terms and conditions set out in the posted documents and on the APC website. The documents are to be treated confidentially and used only for the sole purpose of submitting a Proposal or Response; distribution to others or retention for purposes other than submitting a Proposal or Response is not permitted.
Vendors shall ensure they have received any updates to the opportunity document(s) prior to submitting their Proposal or Response. Vendors should ensure that their contact information in APC is current as correspondence pertaining to this opportunity (including notifications of amendments) are generated electronically and sent to the email address registered with the Vendor’s APC account. The AGLC is not responsible for any matters related to the delivery or non-delivery of this opportunity or any updates to this opportunity.
Vendors should read the opportunity document(s) carefully. Failure to respond in the required format may result in rejection of the Proposal.",f2ba761e-c8da-4591-bbbc-7e9fa308fdae,2019-025,AB-2019-04049
Invitation to Bid,Construction,"Demolition and Replacement of the Brule Community Hall at 5010 Mountain Road, Brule Alberta.","After serving admirably for 65 years as first a school and then a community hall, the existing building is at the end of its usable life and must be replaced. This project includes demolition and removal of the existing hall, and replacing it with a modern, inviting, and durable new hall. This new building will serve for small community meetings/events in the main lobby and formal meeting room, seat 200 for weddings, and allow for 250 to enjoy a concert or dance. With a full commercial kitchen, modern accessibility, and a breathtaking view of Brule Mountain, this new hall will serve the small ranching and recreation focused hamlet for the next 65 years and beyond.",2019-07-11T20:00:00,Amy,Wowk,(780)784-7100,,2019-06-14T22:22:11,2019-06-14T22:40:21,"S2 Architecture
2nd Floor, 10835 – 124 Street
Edmonton AB T5M 0H4",Brule Community Hall Replacement,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=CEB16C91-8EF3-4B4E-B1E3-7EEF89E44F2D,5129B Construction of Other Buildings,"Direct communication to the Owner by any Bidder will not be answered. All
correspondence and communication will be through the Consultant, S2 Architecture,  identified
herein unless instructed otherwise. Any questions must be submitted in writing.


.1 Bidders shall be solely responsible for delivery of their Bids in manner
and time prescribed.
.2 Submit one copy of executed offer on Bid Forms provided, signed and
with corporate seal together with required security in a sealed opaque
envelope, clearly identified with Bidders name, project name and Owners
name on outside as identified by Consultant.
.3 Improperly completed information, irregularities in security deposit, bid
bond, at discretion of Owner, be rejected.",ceb16c91-8ef3-4b4e-b1e3-7eef89e44f2d,218135,AB-2019-03877
Request for Proposal,Services,"This Request for Proposal (RFP) is an invitation by the County of Minburn No. 27 to submit non-binding proposals for a Chartered Professional Accountant (CPA) firm to provide External Financial Audit Services for three (3) fiscal years (2019 – 2021), with work commencing around November 15, 2019.","This Request for Proposal is an invitation by the County of Minburn No. 27 to submit non-binding proposals for a Chartered Professional Accountant (CPA) firm to provide External Financial Audit Services for three (3) fiscal years (2019 – 2021), with work commencing around November 15, 2019.

Proponents are required to submit two (2) copies of their proposal along with an electronic copy of their full submission as noted below:

County of Minburn No. 27
4909 – 50 Street, P.O. Box 550
Vegreville, AB T9C 1R6
Email: info@minburncounty.ab.ca
RFP: External Financial Audit Services

The deadline for submission of responses is 4:30 pm Mountain Daylight Time on Thursday, August 8, 2019.  

The County is seeking a solution that best fits the requirements and needs of the organization.  The County is under no obligation to award an engagement to the lowest cost or any proposal submitted under this RFP.",2019-08-08T22:30:00,Susan,Babyn,780-632-2082,780-632-6296,2019-07-02T19:59:31,2019-07-02T21:05:21,"County of Minburn No. 27
4909 – 50 Street, P.O. Box 550
Vegreville, AB T9C 1R6

Email: info@minburncounty.ab.ca",2019-7-1 External Financial Audit Services RFP,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=CE1BF4A3-7057-44B1-A0EE-80596DA1EAF4,"B329A Business Services / Modelling and Analysis  L099A Financial and Related Services, N.E.S.  L099B Financial Management  L099E Financial, Insurance and Real Estate Services  R009AD General Ledger/Bookkeeping System  R010A Internal and External Audits (Supply Arrangement PASS)  R010AG Finance & Accounting Services Audits (Supply Arrangement PASS)  R010B Audit Services, Not Elsewhere Specified  R019AB Professional Services / Program Advisory Services","Proponents are required to submit two (2) copies of their proposal along with an electronic copy of their full submission as noted below:

County of Minburn No. 27
4909 – 50 Street, P.O. Box 550
Vegreville, AB T9C 1R6
Email: info@minburncounty.ab.ca

RFP: External Financial Audit Services

The deadline for submission of responses is 4:30 pm Mountain Daylight Time on Thursday, August 8, 2019.",ce1bf4a3-7057-44b1-a0ee-80596da1eaf4,AB-2019-04166,AB-2019-04166
Request for Proposal,Services,The grant initiative provides funding to support community and health service providers to develop and implement innovative projects and/or introduce or build onnew and creative approaches to person-centred dementia services in Alberta.,"Person-centred care is a philosophy that recognizes that individuals have unique values, personal history and personality, and that each person has an equal right to dignity, respect, and to participate fully in their physical and social environments. This approach acknowledges that persons living with dementia maintain strengths and abilities throughout the progression of the illness to both communicate preferences and emotions, to engage with others and to participate in activities they enjoy.  People living with dementia experience optimal quality of life in an environment that is appropriately adapted to support those strengths and abilities, and responds as holistically as possible to the unique social, psychological, physical and environmental needs of the individual and their families.",2019-07-25T20:00:59,Denise,Krisco,(780)342-0336,,2019-06-27T20:21:25,2019-06-27T20:30:15,https://ahs.bonfirehub.ca/projects/view/23812,Community Innovations Grant Initiative for People Affected by Dementia,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=1664F7D3-961C-496A-972A-80B79A0498AC,G009G Health and Welfare Services  G103D Mental Health Services,,1664f7d3-961c-496a-972a-80b79a0498ac,AHS-2019-2176,AB-2019-04106
Request for Proposal,Services,Rural student transportation services are required for 8 routes in central Alberta.,Wolf Creek Public Schools requires student transportation services for 8 rural routes located in the Rimbey/ Bluffton/Eckville area. Service required is for complete student transportation on division established routes in accordance with division student transportation policies and procedures. The anticipated contract will cover a one year period for the school term 2019-2020,2019-07-12T16:00:00,Roger,Hall,403-783-3473,403-783-3483,2019-06-28T17:39:54,2019-06-28T17:41:52,"Wolf Creek School Division No.72
6000 Highway 2A 
Ponoka, Alberta, T4J 1P6",Rural Transportation Services RFP,Alberta,Open,AIT & NWPTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=353AFEEA-53A0-4B10-B870-80CC2371A51C,V401CA Bus Passenger Service,,353afeea-53a0-4b10-b870-80cc2371a51c,WCPS-TP02,AB-2019-04129
Notice of Intent,Goods,,The County of Grande Prairie would like to advise all vendors of its intent to participate in one or more procurements conducted by the RMA (Rural Municipalities of Alberta) during the 2019 calendar year.,2020-01-01T06:00:00,Elaine,Nickerson,780-532-9722,780-539-9880,2019-01-29T17:49:42,2019-01-29T17:50:34,,Notice of Intent to Participte in RMA Group Purchasing,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=041ADB64-D49D-470C-B6E6-8278A0E01780,N9999 Miscellaneous Items,,041adb64-d49d-470c-b6e6-8278a0e01780,PS-2019-0003,AB-2019-00620
Request for Pre-Qualification,Services,,"Firetack Crew Member training has been provided locally at the Forest Areas for several years by third-party, external Training Providers. This local Forest Area  delivered training finds efficiencies by reducing travel to the Hinton Training Centre (HTC), where other wildfire training is provided, and has helped enhance relationships between the Forest Areas and First Nations communities (as Firetack Crew Members are often from these communities). Utilizing third parties to deliver training fill a capacity void; HTC does not have the space or instructional capacity to provide Firetack Crew member training in the spring and are operationally committed over the fire season. Likewise Forest Area staff have limited capacity to take on Crew Member training throughout the fire season.

see PQR document for expanded description of services.",2021-12-15T21:00:59,Mike,May,(780)865-8205,,2019-01-11T20:14:42,2019-01-11T20:19:07,"Hinton Training Centre
Agriculture and Forestry
1176 Switzer Drive
Hinton, AB  T7V 1V4

ATTN: Mike May
PQR # 19PQRHTC800",WILDFIRE CREW MEMBER TRAINING - FIRETACK,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=9F9DED19-4B71-43CA-8F68-828B961F1913,F001B Fire Prevention - Forestry  U099S Safety Training Courses,See PQR for response specifics,9f9ded19-4b71-43ca-8f68-828b961f1913,19PQRHTC800,AB-2019-00205
